season,group,n_pool,n_ap,median_rank,in_top10,pct,ap_ranks,window
2019,WR,75,4,3.5,4,0.9633333333333334,"M.Thomas 1, D.Hopkins 7, J.Jones 2, C.Godwin 5",2019-22
2019,RB,73,2,1.5,2,0.9931506849315068,"C.McCaffrey 2, D.Henry 1",2019-22
2019,TE,21,2,1.5,2,0.9761904761904762,"G.Kittle 2, T.Kelce 1",2019-22
2020,WR,82,5,3.0,4,0.9463414634146341,"T.Hill 2, S.Diggs 3, D.Adams 1, D.Hopkins 14, J.Jefferson 7",2019-22
2020,RB,77,2,3.0,2,0.974025974025974,"D.Henry 1, A.Kamara 5",2019-22
2020,TE,24,1,1.0,1,1.0,T.Kelce 1,2019-22
2021,WR,79,5,3.0,5,0.9645569620253165,"D.Adams 3, C.Kupp 2, D.Samuel 4, J.Chase 9, J.Jefferson 1",2019-22
2021,RB,85,1,1.0,1,1.0,J.Taylor 1,2019-22
2021,TE,24,2,1.5,2,0.9791666666666667,"M.Andrews 2, T.Kelce 1",2019-22
2022,WR,76,6,6.0,5,0.9144736842105262,"J.Jefferson 3, T.Hill 2, D.Adams 5, A.Brown 7, S.Diggs 10, C.Lamb 18",2019-22
2022,RB,77,2,8.5,1,0.9025974025974026,"J.Jacobs 13, N.Chubb 4",2019-22
2022,TE,24,2,2.0,2,0.9583333333333333,"T.Kelce 1, G.Kittle 3",2019-22
2023,WR,76,5,3.0,5,0.9578947368421054,"T.Hill 2, C.Lamb 1, A.St. Brown 3, A.Brown 7, P.Nacua 8",2023-25
2023,RB,70,2,1.5,2,0.9928571428571429,"C.McCaffrey 1, K.Williams 2",2023-25
2023,TE,23,2,4.0,2,0.8695652173913044,"G.Kittle 2, S.LaPorta 6",2023-25
2024,WR,78,6,6.0,4,0.9017094017094017,"J.Chase 1, J.Jefferson 4, A.St. Brown 3, T.McLaurin 23, C.Lamb 13, A.Brown 8",2023-25
2024,RB,73,2,3.0,2,0.9726027397260274,"S.Barkley 5, D.Henry 1",2023-25
2024,TE,28,2,6.0,2,0.8214285714285714,"B.Bowers 10, G.Kittle 2",2023-25
2025,WR,72,6,4.5,5,0.9259259259259259,"P.Nacua 1, J.Smith-Njigba 4, J.Chase 5, G.Pickens 6, C.Olave 20, A.St. Brown 2",2023-25
2025,RB,68,2,6.5,2,0.9191176470588236,"Bi.Robinson 7, J.Cook 6",2023-25
2025,TE,27,2,6.0,2,0.8148148148148149,"T.McBride 2, K.Pitts 10",2023-25
