season,group,n_pool,n_ap,median_rank,in_top10,pct,ap_ranks,window
2019,WR,75,4,4.0,4,0.96,"M.Thomas 1, D.Hopkins 7, J.Jones 2, C.Godwin 6",2019-22
2019,RB,73,2,1.5,2,0.9931506849315068,"C.McCaffrey 2, D.Henry 1",2019-22
2019,TE,21,2,1.5,2,0.9761904761904762,"G.Kittle 2, T.Kelce 1",2019-22
2020,WR,82,5,3.0,3,0.9341463414634147,"T.Hill 2, S.Diggs 3, D.Adams 1, D.Hopkins 12, J.Jefferson 14",2019-22
2020,RB,77,2,3.0,2,0.974025974025974,"D.Henry 1, A.Kamara 5",2019-22
2020,TE,24,1,1.0,1,1.0,T.Kelce 1,2019-22
2021,WR,79,5,3.0,4,0.9544303797468354,"D.Adams 3, C.Kupp 1, D.Samuel 6, J.Chase 11, J.Jefferson 2",2019-22
2021,RB,85,1,1.0,1,1.0,J.Taylor 1,2019-22
2021,TE,24,2,1.5,2,0.9791666666666667,"M.Andrews 2, T.Kelce 1",2019-22
2022,WR,76,6,5.5,5,0.9188596491228069,"J.Jefferson 3, T.Hill 2, D.Adams 4, A.Brown 7, S.Diggs 9, C.Lamb 18",2019-22
2022,RB,77,2,6.5,2,0.9285714285714286,"J.Jacobs 10, N.Chubb 3",2019-22
2022,TE,24,2,1.5,2,0.9791666666666667,"T.Kelce 1, G.Kittle 2",2019-22
2023,WR,76,5,4.0,4,0.9447368421052632,"T.Hill 1, C.Lamb 2, A.St. Brown 4, A.Brown 7, P.Nacua 12",2023-25
2023,RB,70,2,2.0,2,0.9857142857142858,"C.McCaffrey 1, K.Williams 3",2023-25
2023,TE,23,2,4.5,2,0.8478260869565217,"G.Kittle 2, S.LaPorta 7",2023-25
2024,WR,78,6,6.5,4,0.9038461538461539,"J.Chase 1, J.Jefferson 4, A.St. Brown 3, T.McLaurin 21, C.Lamb 13, A.Brown 9",2023-25
2024,RB,73,2,2.5,2,0.9794520547945206,"S.Barkley 4, D.Henry 1",2023-25
2024,TE,28,2,6.5,1,0.8035714285714286,"B.Bowers 11, G.Kittle 2",2023-25
2025,WR,72,6,4.5,5,0.9259259259259259,"P.Nacua 1, J.Smith-Njigba 5, J.Chase 4, G.Pickens 6, C.Olave 20, A.St. Brown 2",2023-25
2025,RB,68,2,6.5,2,0.9191176470588236,"Bi.Robinson 7, J.Cook 6",2023-25
2025,TE,27,2,5.5,2,0.8333333333333334,"T.McBride 2, K.Pitts 9",2023-25
